,0,1
137,652.74,6.073713302612305e-05 5.5670738220214844e-05 8.955597877502441e-05 7.599592208862305e-05 6.16312026977539e-05 6.407499313354492e-05 5.632638931274414e-05 7.43865966796875e-05 0.0001163780689239502 6.842613220214844e-05 7.402896881103516e-05
138,633.05,7.742643356323242e-05 5.7637691497802734e-05 6.0617923736572266e-05 5.698204040527344e-05 5.716085433959961e-05 9.426474571228027e-05 6.836652755737305e-05
139,595.23,6.246566772460938e-05 7.128715515136719e-05 0.9892088770866394 0.0001290738582611084 0.0001017153263092041
140,554.37,0.9988150596618652 6.771087646484375e-05 5.728006362915039e-05 6.663799285888672e-05 6.085634231567383e-05 5.91278076171875e-05 0.9893864393234253 5.900859832763672e-05 6.35385513305664e-05
141,562.27,5.537271499633789e-05 5.924701690673828e-05 5.7578086853027344e-05
142,519.87,8.693337440490723e-05 6.216764450073242e-05 6.29425048828125e-05 5.728006362915039e-05 5.817413330078125e-05 6.026029586791992e-05 5.930662155151367e-05 7.635354995727539e-05
143,540.54,7.253885269165039e-05 0.02294868230819702 6.091594696044922e-05 9.432435035705566e-05 0.0012982189655303955 5.650520324707031e-05 6.35385513305664e-05
144,519.55,0.00011488795280456543 8.279085159301758e-05 5.555152893066406e-05 0.003085106611251831 5.638599395751953e-05 6.538629531860352e-05 6.0677528381347656e-05 5.8650970458984375e-05 0.6752568483352661 7.510185241699219e-05 6.181001663208008e-05
145,499.29,5.888938903808594e-05 0.00011095404624938965 6.473064422607422e-05 6.669759750366211e-05 5.8591365814208984e-05
146,523.34,7.283687591552734e-05 5.930662155151367e-05
147,531.73,0.011570185422897339 5.626678466796875e-05 6.872415542602539e-05 5.543231964111328e-05 6.186962127685547e-05 0.010188013315200806
148,569.01,0.015645861625671387 0.9986209869384766 8.26120376586914e-05 6.318092346191406e-05 5.6684017181396484e-05 8.064508438110352e-05
149,557.66,0.0020583271980285645 0.0001234114170074463 7.128715515136719e-05 5.555152893066406e-05 6.401538848876953e-05
150,563.83,0.0002713501453399658 0.0004445016384124756 6.508827209472656e-05 0.06546217203140259 8.973479270935059e-05
151,555.93,0.5641493797302246 0.0007598698139190674 7.981061935424805e-05 0.00014927983283996582 0.0006403923034667969 5.805492401123047e-05 0.00010707974433898926 0.0001564621925354004
152,529.04,0.05701708793640137 0.8834457397460938 0.963874340057373 6.0558319091796875e-05 0.00012049078941345215 5.620718002319336e-05 0.0002339482307434082 7.224082946777344e-05 5.8650970458984375e-05 0.9938535690307617 0.001537233591079712 0.012719154357910156
153,515.34,7.718801498413086e-05 6.461143493652344e-05 8.618831634521484e-05 0.00015288591384887695 5.7220458984375e-05 0.006030768156051636 0.9995846152305603 8.040666580200195e-05
154,478.63,6.920099258422852e-05 6.371736526489258e-05 4.976987838745117e-05 5.59687614440918e-05 6.0498714447021484e-05 8.189678192138672e-05 6.4849853515625e-05 0.00017905235290527344 0.9776405692100525
155,508.95,5.5909156799316406e-05 5.745887756347656e-05 6.943941116333008e-05 8.985400199890137e-05 5.6803226470947266e-05 6.085634231567383e-05
156,486.19,6.312131881713867e-05 6.80685043334961e-05 6.794929504394531e-05 6.371736526489258e-05 0.00011345744132995605 6.639957427978516e-05 8.612871170043945e-05 0.016403287649154663
157,436.23,5.8770179748535156e-05 0.04657202959060669 0.9992351531982422 5.888938903808594e-05 0.03786712884902954 6.258487701416016e-05 7.039308547973633e-05
158,378.31,7.539987564086914e-05 5.340576171875e-05 6.395578384399414e-05 0.00293123722076416 5.620718002319336e-05 5.6684017181396484e-05 6.198883056640625e-05
159,323.45,0.9100039005279541 0.9964724779129028 0.9970736503601074 5.739927291870117e-05 8.547306060791016e-05
160,252.48,7.539987564086914e-05 5.8710575103759766e-05 5.728006362915039e-05 0.9595167636871338 8.669495582580566e-05
161,340.63,0.002869129180908203 0.9996045231819153 5.9545040130615234e-05 7.11679458618164e-05 6.127357482910156e-05 6.335973739624023e-05 5.704164505004883e-05 0.3696947693824768
162,302.32,6.592273712158203e-05 6.777048110961914e-05 0.0006795823574066162 5.692243576049805e-05 0.010457813739776611 0.09334531426429749 6.276369094848633e-05 8.541345596313477e-05
163,284.00,0.09398266673088074 0.9980672001838684 8.344650268554688e-05 0.9988391995429993 0.07617256045341492 5.4895877838134766e-05 8.463859558105469e-05 0.00011375546455383301 0.9995684027671814 0.00019660592079162598 0.0001449286937713623
164,278.45,0.00026926398277282715 7.808208465576172e-05 0.0009418129920959473 5.996227264404297e-05 0.18020567297935486 5.7697296142578125e-05 0.04276758432388306 5.793571472167969e-05 0.20474225282669067 0.0023125112056732178
165,280.95,8.052587509155273e-05 6.127357482910156e-05 7.37905502319336e-05 0.00019025802612304688 9.933114051818848e-05 8.380413055419922e-05 0.937376856803894 0.0004973709583282471 0.19628921151161194 0.9996399879455566
166,276.78,7.319450378417969e-05 0.0004349648952484131 6.61611557006836e-05 7.772445678710938e-05 0.0039003193378448486 0.5038934648036957 6.854534149169922e-05 7.75456428527832e-05 0.0001258552074432373 0.00029152631759643555
167,323.71,0.9992578625679016 6.109476089477539e-05 5.5909156799316406e-05 0.006162852048873901 0.4567906856536865 0.07922708988189697
168,334.65,7.909536361694336e-05 5.614757537841797e-05 5.6743621826171875e-05 0.00048047304153442383 0.0003574192523956299 5.793571472167969e-05
169,299.70,0.002462238073348999 5.9604644775390625e-05 0.008188962936401367 5.7756900787353516e-05 0.9959742426872253 6.693601608276367e-05 0.0003809332847595215
170,318.58,6.395578384399414e-05 5.900859832763672e-05 0.00036337971687316895 7.408857345581055e-05 7.808208465576172e-05 0.0015918314456939697
171,285.61,0.24976593255996704 9.521842002868652e-05 0.36638468503952026 0.0150526762008667
172,301.48,0.015846192836761475 0.996759831905365 0.9991206526756287 0.8701909780502319 0.9953333735466003 0.0001793503761291504 0.00010058283805847168 0.00012055039405822754 0.9994046688079834 0.00010660290718078613
173,286.32,6.198883056640625e-05 0.00010910630226135254 5.412101745605469e-05 0.00015473365783691406 5.8770179748535156e-05 0.001606762409210205 7.283687591552734e-05 8.022785186767578e-05
174,327.79,5.501508712768555e-05 0.9954702854156494 5.131959915161133e-05 6.03795051574707e-05 7.808208465576172e-05 0.20071250200271606 9.557604789733887e-05 0.17782479524612427 6.0498714447021484e-05 0.00010827183723449707
175,333.06,8.58306884765625e-05 0.050436198711395264 5.918741226196289e-05 5.990266799926758e-05 0.041593074798583984 0.00012168288230895996 0.0013127326965332031 0.02355828881263733 0.024926751852035522 6.204843521118164e-05
176,344.83,0.04093906283378601 5.7578086853027344e-05 6.568431854248047e-05 6.681680679321289e-05 6.473064422607422e-05 7.092952728271484e-05 0.0006911158561706543 0.13695240020751953 7.194280624389648e-05 0.9915278553962708 0.0003490447998046875 5.698204040527344e-05 0.04582822322845459 0.8207148909568787 8.919835090637207e-05
